dataset,maxCPU,deltaCPU,maxAcc,deltaAcc,popularityTime,dataTier,sizeGb,age
/CS_Pt_30to50_CTEQ6L1_HFshowerLibrary_7TeV_herwig6/Summer12-LowPU2010_DR42_PU_S0_START42_V17B-v1/AODSIM,10,5,10,5,4,AODSIM,56,7
/CS_Pt_50to80_CTEQ6L1_HFshowerLibrary_7TeV_herwig6/Summer12-LowPU2010_DR42_PU_S0_START42_V17B-v1/AODSIM,9,3,9,3,4,AODSIM,63,7
/ChargedHToTB_M-200_tanBeta30_8TeV-pythia6-tauola/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,1619,1355,1619,1355,7,AODSIM,380,0
/ChargedHToTB_M-600_tanBeta30_8TeV-pythia6-tauola/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,1777,1149,1777,1149,5,AODSIM,410,42
/ChargedHToTB_M-700_tanBeta30_8TeV-pythia6-tauola/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,1954,1036,1954,1036,4,AODSIM,415,35
/ColoronColoronToJJJJ_M-200_TuneZ2star_8TeV-madgraph-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,65,38,65,38,2,AODSIM,36,7
/ColoronColoronToJJJJ_M-700_TuneZ2star_8TeV-madgraph-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,96,5,96,5,3,AODSIM,45,14
/Commissioning/Run2012D-v1/RAW,49449,25750,49449,25750,3,RAW,11625,112
/Cosmics/Commissioning12-CosmicSP-26Mar2013-v1/RAW-RECO,155,155,155,155,3,RAW-RECO,34,14
/Cosmics/Run2012A-CosmicSP-22Jan2013-v1/RAW-RECO,111,91,111,91,5,RAW-RECO,60,42
/Cosmics/Run2012B-CosmicSP-22Jan2013-v1/RAW-RECO,224,220,224,220,3,RAW-RECO,161,28
/Cosmics/Run2012C-CosmicSP-22Jan2013-v1/RAW-RECO,110,103,110,103,4,RAW-RECO,61,35
/Cosmics/Run2012D-CosmicSP-22Jan2013-v1/RAW-RECO,526,321,526,321,3,RAW-RECO,264,21
/DY1JetsToLL_M-10To50_TuneZ2Star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,4821,1897,4821,1897,16,AODSIM,2594,154
/DY1JetsToLL_M-50_TuneZ2Star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,54322,16943,54322,16943,72,AODSIM,8043,539
/DY2JetsToLL_M-50_TuneZ2Star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,3085,1342,3085,1342,80,AODSIM,816,329
/DY2JetsToLL_M-50_TuneZ2Star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,31397,6281,31397,6281,75,AODSIM,7581,651
/DY2JetsToLL_TuneZ2star_M-10To50_8TeV-madgraph-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,20999,7007,20999,7007,21,AODSIM,10162,210
/DY3JetsToLL_M-50_TuneZ2Star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,20751,2897,20751,2897,96,AODSIM,3965,721
/DY4JetsToLL_M-50_TuneZ2Star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,11527,1763,11527,1763,71,AODSIM,2427,532
